,Acc,Precision,Recall,Specificity,f1-score,Kappa,AUC,TP,FP,TN,FN,Pass,Fail,FetSel
Logistic Regression,0.6327713382507903,0.6587561374795418,0.7419354838709677,0.4870848708487085,0.6978760294755094,0.2339621505246834,0.614510177359838,805,417,396,280,1085,813,All
Ridge Calssification,0.6691253951527925,0.6536650975117687,0.895852534562212,0.36654366543665434,0.7558320373250389,0.2797338273914626,0.6311980999994332,972,515,298,113,1085,813,All
Random Forest,0.6322444678609063,0.6681146828844483,0.7087557603686636,0.5301353013530136,0.68783542039356,0.24134692582653883,0.6194455308608385,769,382,431,316,1085,813,All
Decision Tree,0.5990516332982087,0.6483516483516484,0.6525345622119816,0.5276752767527675,0.6504363803399175,0.18040453814490787,0.5901049194823745,708,384,429,377,1085,813,All
SVC,0.6664910432033719,0.6828478964401294,0.7778801843317973,0.5178351783517835,0.7272727272727273,0.3027639109577991,0.6478576813417903,844,392,421,241,1085,813,All
NaiveBayes,0.4778714436248683,0.7831325301204819,0.11981566820276497,0.955719557195572,0.20783373301358912,0.06616098477890231,0.5377676126991685,130,36,777,955,1085,813,All
Logistic Regression,0.6143308746048473,0.6672985781990521,0.6488479262672812,0.5682656826568265,0.6579439252336448,0.21611401682492937,0.6085568044620538,704,351,462,381,1085,813,Chi-Square
Ridge Calssification,0.6095890410958904,0.6549549549549549,0.6700460829493088,0.5289052890528906,0.6624145785876994,0.19972118060099808,0.5994756860010996,727,383,430,358,1085,813,Chi-Square
Random Forest,0.6064278187565859,0.6673267326732674,0.6211981566820276,0.5867158671586716,0.643436754176611,0.20553734429371118,0.6039570119203496,674,336,477,411,1085,813,Chi-Square
Decision Tree,0.5911485774499473,0.6648879402347919,0.5741935483870968,0.6137761377613776,0.6162215628090999,0.18377625291914612,0.5939848430742372,623,314,499,462,1085,813,Chi-Square
SVC,0.6269757639620653,0.6724611161939615,0.6774193548387096,0.5596555965559655,0.674931129476584,0.23736772389182048,0.6185374756973375,735,358,455,350,1085,813,Chi-Square
NaiveBayes,0.47629083245521603,0.7692307692307693,0.11981566820276497,0.9520295202952029,0.2073365231259968,0.06295440164262567,0.5359225942489839,130,39,774,955,1085,813,Chi-Square
Logistic Regression,0.6269757639620653,0.6536267318663407,0.7391705069124423,0.47724477244772445,0.6937716262975778,0.22125932871499876,0.6082076396800834,802,425,388,283,1085,813,F-Test
Ridge Calssification,0.6759747102212855,0.660300136425648,0.8921658986175115,0.3874538745387454,0.7589180713445708,0.2970700563297839,0.6398098865781283,968,498,315,117,1085,813,F-Test
Random Forest,0.6459430979978925,0.6964795432921027,0.6746543778801843,0.6076260762607626,0.6853932584269662,0.2808084544432403,0.6411402270704735,732,319,494,353,1085,813,F-Test
Decision Tree,0.6022128556375131,0.6640159045725647,0.6156682027649769,0.5842558425584256,0.6389287422285987,0.197518281366726,0.5999620226617013,668,338,475,417,1085,813,F-Test
SVC,0.667017913593256,0.6790513833992095,0.791705069124424,0.5006150061500615,0.7310638297872339,0.30066404314239914,0.6461600376372427,859,406,407,226,1085,813,F-Test
NaiveBayes,0.47629083245521603,0.7692307692307693,0.11981566820276497,0.9520295202952029,0.2073365231259968,0.06295440164262567,0.5359225942489839,130,39,774,955,1085,813,F-Test
Logistic Regression,0.5753424657534246,0.6099290780141844,0.7133640552995392,0.39114391143911437,0.6576040781648258,0.1075592621934216,0.5522539833693267,774,495,318,311,1085,813,MI
Ridge Calssification,0.5990516332982087,0.5940766550522648,0.9428571428571428,0.14022140221402213,0.7288920555753472,0.0921263198122374,0.5415392725355825,1023,699,114,62,1085,813,MI
Random Forest,0.6264488935721813,0.6413533834586466,0.7861751152073733,0.4132841328413284,0.7064182194616977,0.20728924285891015,0.5997296240243508,853,477,336,232,1085,813,MI
Decision Tree,0.6074815595363541,0.6340694006309149,0.7410138248847926,0.42927429274292744,0.6833829154271144,0.17523217575013095,0.58514405881386,804,464,349,281,1085,813,MI
SVC,0.6443624868282403,0.6516272189349113,0.8119815668202764,0.42066420664206644,0.7230201066885515,0.2426338359385808,0.6163228867311714,881,471,342,204,1085,813,MI
NaiveBayes,0.4504741833508957,0.92,0.0423963133640553,0.995079950799508,0.08105726872246696,0.03231902548234622,0.5187381320817817,46,4,809,1039,1085,813,MI
Logistic Regression,0.6206533192834562,0.6550552251486831,0.7105990783410139,0.5006150061500615,0.6816976127320954,0.2142531046133076,0.6056070422455377,771,406,407,314,1085,813,RandomForest
Ridge Calssification,0.667017913593256,0.6558843771507227,0.8783410138248848,0.3849938499384994,0.7509850275807722,0.27917438348574664,0.6316674318816922,953,500,313,132,1085,813,RandomForest
Random Forest,0.6211801896733403,0.6588541666666666,0.6995391705069124,0.5166051660516605,0.6785873938310236,0.2184003766353224,0.6080721682792865,759,393,420,326,1085,813,RandomForest
Decision Tree,0.5990516332982087,0.6438721136767318,0.6682027649769585,0.5067650676506765,0.6558118498417006,0.1760808826633231,0.5874839163138176,725,401,412,360,1085,813,RandomForest
SVC,0.6891464699683878,0.7020408163265306,0.7926267281105991,0.5510455104551045,0.7445887445887445,0.35125396117326046,0.6718361192828518,860,365,448,225,1085,813,RandomForest
NaiveBayes,0.6412012644889358,0.6309987029831388,0.896774193548387,0.3001230012300123,0.7407689379520365,0.21182189710873667,0.5984485973891998,973,569,244,112,1085,813,RandomForest
