studentID,Major,MajorT,Year,Semester,CrsEn,Order,Grade,SGrade,Pass,Fail,Count,Instructor,RepEn,MethEn,Group,Period
12060799,19,CHM,2012,03,DifCal,1,0,69,0,1,1,LIMAS FRESCAS BLANCA ROSA,0,Complementary,A,20123
12060799,19,CHM,2013,01,DifCal,1,71,71,1,0,1,CERECERES ARVIZO CESAR AUGUSTO,1,Ordinary,H,20131
12060799,19,CHM,2013,03,IntCal,2,0,69,0,1,1,AGUIRRE PARRES AMALIA CONCEPCION,0,Complementary,B,20133
12060799,19,CHM,2014,03,IntCal,2,78,78,1,0,1,DIAZ PEÑA MIREYA ARMIDA,1,Ordinary,F,20143
12060799,19,CHM,2015,01,VecCal,3,0,69,0,1,1,LIMAS FRESCAS BLANCA ROSA,0,Complementary,C,20151
12060799,19,CHM,2015,03,VecCal,3,0,69,0,1,1,BRITO CHAPARRO JOSE ANGEL,1,Complementary,A,20153
12060799,19,CHM,2016,01,VecCal,3,84,84,1,0,1,PRIETO MALDONADO YESSICA,2,Special Course,J,20161
12060799,19,CHM,2016,03,DifEqs,4,80,80,1,0,1,AGUIRRE PARRES AMALIA CONCEPCION,0,Complementary,C,20163
13060033,19,CHM,2013,01,DifCal,1,0,69,0,1,1,LIMAS FRESCAS BLANCA ROSA,0,Complementary,A,20131
13060033,19,CHM,2013,02,DifCal,1,75,75,1,0,1,LEON RUBIO ANGEL GABRIEL,1,Complementary,A,20132
13060033,19,CHM,2013,03,IntCal,2,0,69,0,1,1,LIMAS FRESCAS BLANCA ROSA,0,Complementary,F,20133
13060033,19,CHM,2014,01,IntCal,2,0,69,0,1,1,MANZANERA QUINTANA MARIA ISABEL,1,Complementary,B,20141
13060033,19,CHM,2014,02,IntCal,2,82,82,1,0,1,GUZMAN GONZALEZ CYNTHIA LILIANA,2,Special Course,C,20142
13060033,19,CHM,2014,03,VecCal,3,0,69,0,1,1,GANDARA RIVERA FEDERICO ANTONIO,0,Complementary,I,20143
13060033,19,CHM,2016,01,VecCal,3,85,85,1,0,1,PRIETO MALDONADO YESSICA,1,Ordinary,J,20161
13060033,19,CHM,2016,02,DifEqs,4,0,69,0,1,1,LEON RUBIO ANGEL GABRIEL,0,Complementary,C,20162
13060033,19,CHM,2016,03,DifEqs,4,0,69,0,1,1,AGUIRRE PARRES AMALIA CONCEPCION,1,Complementary,C,20163
13060033,19,CHM,2017,02,DifEqs,4,76,76,1,0,1,ALEJOS VIZCARRA ARTURO,2,Special Course,B,20172
13060332,19,CHM,2013,01,DifCal,1,0,69,0,1,1,LIMAS FRESCAS BLANCA ROSA,0,Complementary,A,20131
13060332,19,CHM,2013,03,DifCal,1,94,94,1,0,1,CABRALES ROSALES YOLANDA,1,Ordinary,D,20133
13060332,19,CHM,2014,01,IntCal,2,0,69,0,1,1,CLEMENTE SALAZAR MARCO ANTONIO,0,Complementary,F,20141
13060332,19,CHM,2014,02,IntCal,2,75,75,1,0,1,NEVAREZ BURGUEÑO CATALINA IRENE,1,Complementary,A,20142
13060332,19,CHM,2014,03,VecCal,3,0,69,0,1,1,DIAZ PEÑA MIREYA ARMIDA,0,Complementary,C,20143
13060332,19,CHM,2015,01,VecCal,3,70,70,1,0,1,GANDARA RIVERA FEDERICO ANTONIO,1,Complementary,I,20151
13060332,19,CHM,2015,02,DifEqs,4,0,69,0,1,1,ALEJOS VIZCARRA ARTURO,0,Complementary,B,20152
13060332,19,CHM,2015,03,DifEqs,4,70,70,1,0,1,ALEJOS VIZCARRA ARTURO,1,Complementary,K,20153
13060377,19,CHM,2013,01,DifCal,1,0,69,0,1,1,LIMAS FRESCAS BLANCA ROSA,0,Complementary,A,20131
13060377,19,CHM,2013,03,DifCal,1,90,90,1,0,1,CABRALES ROSALES YOLANDA,1,Ordinary,D,20133
13060377,19,CHM,2014,01,IntCal,2,0,69,0,1,1,MANZANERA QUINTANA MARIA ISABEL,0,Complementary,B,20141
13060377,19,CHM,2014,03,IntCal,2,86,86,1,0,1,CABRALES ROSALES YOLANDA,1,Ordinary,B,20143
13060377,19,CHM,2015,01,VecCal,3,74,74,1,0,1,JUAREZ MARTINEZ JESUS,0,Complementary,D,20151
13060377,19,CHM,2015,03,DifEqs,4,0,69,0,1,1,MANZANERA QUINTANA MARIA ISABEL,0,Complementary,F,20153
13060377,19,CHM,2016,01,DifEqs,4,0,69,0,1,1,ALEJOS VIZCARRA ARTURO,1,Complementary,J,20161
13060377,19,CHM,2016,03,DifEqs,4,70,70,1,0,1,ALEJOS VIZCARRA ARTURO,2,Special Course,J,20163
13060390,19,CHM,2013,01,DifCal,1,0,69,0,1,1,LIMAS FRESCAS BLANCA ROSA,0,Complementary,A,20131
13060390,19,CHM,2013,03,DifCal,1,80,80,1,0,1,ARELLANO ULLOA LUIS HERNAN,1,Ordinary,F,20133
13060390,19,CHM,2014,01,IntCal,2,0,69,0,1,1,DIAZ PEÑA MIREYA ARMIDA,0,Complementary,D,20141
13060390,19,CHM,2015,01,IntCal,2,70,70,1,0,1,CABRALES ROSALES YOLANDA,1,Ordinary,G,20151
13060390,19,CHM,2016,01,VecCal,3,85,85,1,0,1,PRIETO MALDONADO YESSICA,0,Ordinary,J,20161
13060390,19,CHM,2016,02,DifEqs,4,0,69,0,1,1,ALEJOS VIZCARRA ARTURO,0,Complementary,B,20162
13060390,19,CHM,2016,03,DifEqs,4,0,69,0,1,1,AGUIRRE PARRES AMALIA CONCEPCION,1,Complementary,C,20163
13060390,19,CHM,2017,02,DifEqs,4,76,76,1,0,1,ALEJOS VIZCARRA ARTURO,2,Special Course,B,20172
13060660,19,CHM,2013,03,DifCal,1,0,69,0,1,1,LIMAS FRESCAS BLANCA ROSA,0,Complementary,A,20133
13060660,19,CHM,2014,03,DifCal,1,83,83,1,0,1,AGUIRRE PARRES AMALIA CONCEPCION,1,Ordinary,G,20143
13060660,19,CHM,2015,01,IntCal,2,70,70,1,0,1,VILLAZON BUSTILLOS DANIEL,0,Ordinary,I,20151
13060660,19,CHM,2015,03,VecCal,3,0,69,0,1,1,ESTEVANE ORTEGA MARIA ELENA,0,Complementary,F,20153
13060660,19,CHM,2016,01,VecCal,3,70,70,1,0,1,GANDARA RIVERA FEDERICO ANTONIO,1,Complementary,I,20161
13060660,19,CHM,2016,02,DifEqs,4,70,70,1,0,1,ALEJOS VIZCARRA ARTURO,0,Complementary,B,20162
13060816,19,CHM,2013,03,DifCal,1,0,69,0,1,1,LIMAS FRESCAS BLANCA ROSA,0,Complementary,A,20133
13060816,19,CHM,2014,01,DifCal,1,90,90,1,0,1,DUARTE MARTINEZ JESUS FRANCISCO,1,Complementary,G,20141
13060816,19,CHM,2014,03,IntCal,2,73,73,1,0,1,DIAZ PEÑA MIREYA ARMIDA,0,Complementary,F,20143
13060816,19,CHM,2016,03,VecCal,3,71,71,1,0,1,CABRALES ROSALES YOLANDA,0,Complementary,A,20163
13060816,19,CHM,2017,02,DifEqs,4,87,87,1,0,1,ALEJOS VIZCARRA ARTURO,0,Complementary,B,20172
13060859,19,CHM,2013,03,DifCal,1,80,80,1,0,1,ALEJOS VIZCARRA ARTURO,0,Complementary,B,20133
13060859,19,CHM,2014,01,IntCal,2,70,70,1,0,1,DIAZ PEÑA MIREYA ARMIDA,0,Complementary,D,20141
13060859,19,CHM,2014,03,VecCal,3,80,80,1,0,1,ANGUIANO MORALES MARCELINO,0,Ordinary,J,20143
13060859,19,CHM,2016,03,DifEqs,4,70,70,1,0,1,ALEJOS VIZCARRA ARTURO,0,Complementary,J,20163
13061026,19,CHM,2013,03,DifCal,1,70,70,1,0,1,ALEJOS VIZCARRA ARTURO,0,Complementary,B,20133
13061026,19,CHM,2014,01,IntCal,2,0,69,0,1,1,LEON MARTINEZ MARIA ELIZABETH,0,Complementary,C,20141
13061026,19,CHM,2014,03,IntCal,2,0,69,0,1,1,JUAREZ MARTINEZ JESUS,1,Complementary,J,20143
13061026,19,CHM,2015,01,IntCal,2,74,74,1,0,1,JUAREZ MARTINEZ JESUS,2,Special Course,J,20151
13061026,19,CHM,2015,03,VecCal,3,0,69,0,1,1,ESTEVANE ORTEGA MARIA ELENA,0,Complementary,F,20153
13061026,19,CHM,2016,01,VecCal,3,0,69,0,1,1,GANDARA RIVERA FEDERICO ANTONIO,1,Complementary,I,20161
13061026,19,CHM,2016,02,DifEqs,4,70,70,1,0,1,ALEJOS VIZCARRA ARTURO,0,Complementary,B,20162
13061026,19,CHM,2016,03,VecCal,3,77,77,1,0,1,LEON RUBIO ANGEL GABRIEL,2,Special Course,L,20163
13061033,19,CHM,2013,03,DifCal,1,84,84,1,0,1,LIMAS FRESCAS BLANCA ROSA,0,Ordinary,A,20133
13061033,19,CHM,2014,01,IntCal,2,88,88,1,0,1,LIMAS FRESCAS BLANCA ROSA,0,Ordinary,L,20141
13061033,19,CHM,2014,03,VecCal,3,86,86,1,0,1,CABRALES ROSALES YOLANDA,0,Ordinary,A,20143
13061033,19,CHM,2015,01,DifEqs,4,0,69,0,1,1,MANZANERA QUINTANA MARIA ISABEL,0,Complementary,F,20151
13061033,19,CHM,2015,03,DifEqs,4,0,69,0,1,1,GRANADOS OCHOA JESUS EUSTACIO,1,Complementary,D,20153
13061033,19,CHM,2016,01,DifEqs,4,80,80,1,0,1,GRANADOS OCHOA JESUS EUSTACIO,2,Special Course,D,20161
13061086,19,CHM,2013,03,DifCal,1,82,82,1,0,1,ALEJOS VIZCARRA ARTURO,0,Ordinary,B,20133
13061086,19,CHM,2014,01,IntCal,2,0,69,0,1,1,CLEMENTE SALAZAR MARCO ANTONIO,0,Complementary,F,20141
13061086,19,CHM,2014,03,IntCal,2,0,69,0,1,1,JUAREZ MARTINEZ JESUS,1,Complementary,J,20143
13061086,19,CHM,2015,01,IntCal,2,76,76,1,0,1,VILLAZON BUSTILLOS DANIEL,2,Special Course,I,20151
13061086,19,CHM,2015,03,VecCal,3,0,69,0,1,1,GANDARA RIVERA FEDERICO ANTONIO,0,Complementary,I,20153
13061086,19,CHM,2016,01,VecCal,3,79,79,1,0,1,DIAZ PEÑA MIREYA ARMIDA,1,Complementary,B,20161
13061086,19,CHM,2017,01,DifEqs,4,72,72,1,0,1,AGUIRRE PARRES AMALIA CONCEPCION,0,Complementary,F,20171
13061122,19,CHM,2013,03,DifCal,1,73,73,1,0,1,ALEJOS VIZCARRA ARTURO,0,Complementary,B,20133
13061122,19,CHM,2014,01,IntCal,2,0,69,0,1,1,LIMAS FRESCAS BLANCA ROSA,0,Complementary,L,20141
13061122,19,CHM,2014,03,IntCal,2,71,71,1,0,1,JUAREZ MARTINEZ JESUS,1,Ordinary,J,20143
13061122,19,CHM,2015,01,VecCal,3,85,85,1,0,1,JUAREZ MARTINEZ JESUS,0,Ordinary,D,20151
13061122,19,CHM,2015,03,DifEqs,4,0,69,0,1,1,MANZANERA QUINTANA MARIA ISABEL,0,Complementary,F,20153
13061122,19,CHM,2016,01,DifEqs,4,80,80,1,0,1,ALEJOS VIZCARRA ARTURO,1,Complementary,K,20161
13061156,19,CHM,2013,03,DifCal,1,78,78,1,0,1,ALEJOS VIZCARRA ARTURO,0,Complementary,B,20133
13061156,19,CHM,2014,01,IntCal,2,0,69,0,1,1,LEON MARTINEZ MARIA ELIZABETH,0,Complementary,C,20141
13061156,19,CHM,2014,03,IntCal,2,80,80,1,0,1,CABRALES ROSALES YOLANDA,1,Ordinary,B,20143
13061156,19,CHM,2015,01,VecCal,3,0,69,0,1,1,JUAREZ MARTINEZ JESUS,0,Complementary,D,20151
13061156,19,CHM,2015,03,VecCal,3,92,92,1,0,1,ALEJOS VIZCARRA ARTURO,1,Ordinary,J,20153
13061156,19,CHM,2016,01,DifEqs,4,81,81,1,0,1,LEON RUBIO ANGEL GABRIEL,0,Complementary,L,20161
13061157,19,CHM,2013,03,DifCal,1,0,69,0,1,1,LIMAS FRESCAS BLANCA ROSA,0,Complementary,A,20133
13061157,19,CHM,2014,01,DifCal,1,77,77,1,0,1,LEON MARTINEZ MARIA ELIZABETH,1,Complementary,E,20141
13061157,19,CHM,2015,02,IntCal,2,82,82,1,0,1,NEVAREZ BURGUEÑO CATALINA IRENE,0,Complementary,B,20152
13061157,19,CHM,2016,02,DifEqs,4,0,69,0,1,1,ALEJOS VIZCARRA ARTURO,0,Complementary,B,20162
13061157,19,CHM,2017,01,DifEqs,4,0,69,0,1,1,ALEJOS VIZCARRA ARTURO,1,Complementary,K,20171
13061157,19,CHM,2017,02,DifEqs,4,74,74,1,0,1,ALEJOS VIZCARRA ARTURO,2,Special Course,A,20172
13061187,19,CHM,2013,03,DifCal,1,0,69,0,1,1,LIMAS FRESCAS BLANCA ROSA,0,Complementary,A,20133
13061187,19,CHM,2014,01,DifCal,1,81,81,1,0,1,JUAREZ MARTINEZ JESUS,1,Complementary,F,20141
13061187,19,CHM,2014,03,IntCal,2,0,69,0,1,1,JUAREZ MARTINEZ JESUS,0,Complementary,J,20143
13061187,19,CHM,2015,01,IntCal,2,0,69,0,1,1,VILLAZON BUSTILLOS DANIEL,1,Complementary,I,20151
13061187,19,CHM,2015,03,IntCal,2,70,70,1,0,1,AGUIRRE PARRES AMALIA CONCEPCION,2,Special Course,C,20153
13061187,19,CHM,2016,01,VecCal,3,0,69,0,1,1,CABRALES ROSALES YOLANDA,0,Complementary,A,20161
13061187,19,CHM,2016,02,DifEqs,4,73,73,1,0,1,ALEJOS VIZCARRA ARTURO,0,Complementary,B,20162
13061187,19,CHM,2016,03,VecCal,3,0,69,0,1,1,LEON RUBIO ANGEL GABRIEL,1,Complementary,L,20163
13061187,19,CHM,2017,02,VecCal,3,76,76,1,0,1,PRIETO MALDONADO YESSICA,2,Special Course,B,20172
13061263,19,CHM,2013,03,DifCal,1,0,69,0,1,1,LIMAS FRESCAS BLANCA ROSA,0,Complementary,A,20133
13061263,19,CHM,2014,01,DifCal,1,79,79,1,0,1,LEON MARTINEZ MARIA ELIZABETH,1,Complementary,E,20141
13061263,19,CHM,2014,03,IntCal,2,70,70,1,0,1,CABRALES ROSALES YOLANDA,0,Ordinary,B,20143
13061263,19,CHM,2015,01,VecCal,3,90,90,1,0,1,JUAREZ MARTINEZ JESUS,0,Ordinary,D,20151
13061263,19,CHM,2015,03,DifEqs,4,75,75,1,0,1,ALEJOS VIZCARRA ARTURO,0,Ordinary,K,20153
14060397,19,CHM,2014,01,DifCal,1,72,72,1,0,1,LIMAS FRESCAS BLANCA ROSA,0,Ordinary,A,20141
14060397,19,CHM,2014,03,IntCal,2,0,69,0,1,1,AGUIRRE PARRES AMALIA CONCEPCION,0,Complementary,D,20143
14060397,19,CHM,2015,02,IntCal,2,95,95,1,0,1,LEON MARTINEZ MARIA ELIZABETH,1,Ordinary,D,20152
14060397,19,CHM,2015,03,VecCal,3,0,69,0,1,1,LIMAS FRESCAS BLANCA ROSA,0,Complementary,C,20153
14060397,19,CHM,2016,01,VecCal,3,83,83,1,0,1,DIAZ PEÑA MIREYA ARMIDA,1,Complementary,B,20161
14060397,19,CHM,2016,02,DifEqs,4,76,76,1,0,1,LEON RUBIO ANGEL GABRIEL,0,Complementary,C,20162
14060430,19,CHM,2014,01,DifCal,1,82,82,1,0,1,LIMAS FRESCAS BLANCA ROSA,0,Complementary,A,20141
14060430,19,CHM,2014,03,IntCal,2,73,73,1,0,1,CABRALES ROSALES YOLANDA,0,Ordinary,B,20143
14060430,19,CHM,2015,01,VecCal,3,0,69,0,1,1,LIMAS FRESCAS BLANCA ROSA,0,Complementary,C,20151
14060430,19,CHM,2015,03,VecCal,3,70,70,1,0,1,BRITO CHAPARRO JOSE ANGEL,1,Complementary,A,20153
14060430,19,CHM,2016,01,DifEqs,4,0,69,0,1,1,GRANADOS OCHOA JESUS EUSTACIO,0,Complementary,D,20161
14060430,19,CHM,2017,01,DifEqs,4,76,76,1,0,1,ALEJOS VIZCARRA ARTURO,1,Complementary,K,20171
14060460,19,CHM,2014,01,DifCal,1,0,69,0,1,1,LIMAS FRESCAS BLANCA ROSA,0,Complementary,A,20141
14060460,19,CHM,2014,02,DifCal,1,92,92,1,0,1,LEON MARTINEZ MARIA ELIZABETH,1,Complementary,B,20142
14060460,19,CHM,2014,03,IntCal,2,74,74,1,0,1,CABRALES ROSALES YOLANDA,0,Complementary,B,20143
14060460,19,CHM,2015,03,VecCal,3,71,71,1,0,1,ALEJOS VIZCARRA ARTURO,0,Complementary,J,20153
14060460,19,CHM,2016,01,DifEqs,4,0,69,0,1,1,GRANADOS OCHOA JESUS EUSTACIO,0,Complementary,D,20161
14060460,19,CHM,2016,02,DifEqs,4,76,76,1,0,1,LEON RUBIO ANGEL GABRIEL,1,Complementary,C,20162
14060563,19,CHM,2014,01,DifCal,1,0,69,0,1,1,LIMAS FRESCAS BLANCA ROSA,0,Complementary,A,20141
14060563,19,CHM,2014,02,DifCal,1,81,81,1,0,1,LEON MARTINEZ MARIA ELIZABETH,1,Complementary,B,20142
14060563,19,CHM,2014,03,IntCal,2,76,76,1,0,1,CABRALES ROSALES YOLANDA,0,Complementary,B,20143
14060563,19,CHM,2016,01,VecCal,3,0,69,0,1,1,DIAZ PEÑA MIREYA ARMIDA,0,Complementary,B,20161
14060563,19,CHM,2016,03,VecCal,3,70,70,1,0,1,ESTEVANE ORTEGA MARIA ELENA,1,Complementary,G,20163
14060563,19,CHM,2017,01,DifEqs,4,80,80,1,0,1,ALEJOS VIZCARRA ARTURO,0,Ordinary,K,20171
14060621,19,CHM,2014,03,DifCal,1,0,69,0,1,1,CLEMENTE SALAZAR MARCO ANTONIO,0,Complementary,B,20143
14060621,19,CHM,2015,01,DifCal,1,0,69,0,1,1,LIMAS FRESCAS BLANCA ROSA,1,Complementary,E,20151
14060621,19,CHM,2015,02,DifCal,1,83,83,1,0,1,ARELLANO ULLOA LUIS HERNAN,2,Special Course,A,20152
14060621,19,CHM,2015,03,IntCal,2,79,79,1,0,1,MARQUEZ GUTIERREZ PEDRO RAFAEL,0,Complementary,H,20153
14060621,19,CHM,2016,03,VecCal,3,0,69,0,1,1,CABRALES ROSALES YOLANDA,0,Complementary,A,20163
14060621,19,CHM,2017,01,VecCal,3,70,70,1,0,1,CABRALES ROSALES YOLANDA,1,Complementary,A,20171
14060621,19,CHM,2017,02,DifEqs,4,81,81,1,0,1,ALEJOS VIZCARRA ARTURO,0,Complementary,A,20172
14060655,19,CHM,2014,03,DifCal,1,95,95,1,0,1,CLEMENTE SALAZAR MARCO ANTONIO,0,Ordinary,B,20143
14060655,19,CHM,2015,01,IntCal,2,85,85,1,0,1,MANZANERA QUINTANA MARIA ISABEL,0,Ordinary,B,20151
14060655,19,CHM,2015,03,VecCal,3,70,70,1,0,1,GANDARA RIVERA FEDERICO ANTONIO,0,Complementary,I,20153
14060655,19,CHM,2016,03,DifEqs,4,87,87,1,0,1,MANZANERA QUINTANA MARIA ISABEL,0,Ordinary,F,20163
14060660,19,CHM,2014,03,DifCal,1,90,90,1,0,1,AGUIRRE PARRES AMALIA CONCEPCION,0,Ordinary,A,20143
14060660,19,CHM,2015,01,IntCal,2,78,78,1,0,1,MANZANERA QUINTANA MARIA ISABEL,0,Complementary,B,20151
14060660,19,CHM,2015,03,VecCal,3,80,80,1,0,1,GANDARA RIVERA FEDERICO ANTONIO,0,Ordinary,I,20153
14060660,19,CHM,2016,01,DifEqs,4,0,69,0,1,1,MANZANERA QUINTANA MARIA ISABEL,0,Complementary,C,20161
14060660,19,CHM,2016,02,DifEqs,4,100,100,1,0,1,LEON RUBIO ANGEL GABRIEL,1,Ordinary,D,20162
14060674,19,CHM,2014,03,DifCal,1,77,77,1,0,1,AGUIRRE PARRES AMALIA CONCEPCION,0,Ordinary,A,20143
14060674,19,CHM,2015,01,IntCal,2,95,95,1,0,1,AGUIRRE PARRES AMALIA CONCEPCION,0,Ordinary,C,20151
14060674,19,CHM,2015,03,VecCal,3,90,90,1,0,1,LIMAS FRESCAS BLANCA ROSA,0,Ordinary,C,20153
14060674,19,CHM,2016,01,DifEqs,4,100,100,1,0,1,AGUIRRE PARRES AMALIA CONCEPCION,0,Ordinary,E,20161
14060675,19,CHM,2014,03,DifCal,1,85,85,1,0,1,AGUIRRE PARRES AMALIA CONCEPCION,0,Complementary,A,20143
14060675,19,CHM,2015,01,IntCal,2,77,77,1,0,1,AGUIRRE PARRES AMALIA CONCEPCION,0,Complementary,C,20151
14060675,19,CHM,2016,01,VecCal,3,82,82,1,0,1,LIMAS FRESCAS BLANCA ROSA,0,Ordinary,C,20161
14060675,19,CHM,2016,02,DifEqs,4,100,100,1,0,1,LEON RUBIO ANGEL GABRIEL,0,Ordinary,C,20162
14060689,19,CHM,2014,03,DifCal,1,88,88,1,0,1,CLEMENTE SALAZAR MARCO ANTONIO,0,Ordinary,B,20143
14060689,19,CHM,2015,01,IntCal,2,70,70,1,0,1,VILLAZON BUSTILLOS DANIEL,0,Ordinary,I,20151
14060689,19,CHM,2016,01,VecCal,3,74,74,1,0,1,JUAREZ MARTINEZ JESUS,0,Complementary,D,20161
14060689,19,CHM,2016,03,DifEqs,4,0,69,0,1,1,MANZANERA QUINTANA MARIA ISABEL,0,Complementary,F,20163
14060689,19,CHM,2017,03,DifEqs,4,73,73,1,0,1,MANZANERA QUINTANA MARIA ISABEL,1,Complementary,B,20173
14060717,19,CHM,2014,03,DifCal,1,90,90,1,0,1,AGUIRRE PARRES AMALIA CONCEPCION,0,Ordinary,A,20143
14060717,19,CHM,2015,01,IntCal,2,85,85,1,0,1,NEVAREZ BURGUEÑO CATALINA IRENE,0,Complementary,D,20151
14060717,19,CHM,2016,01,VecCal,3,92,92,1,0,1,MANZANERA QUINTANA MARIA ISABEL,0,Complementary,E,20161
14060717,19,CHM,2016,03,DifEqs,4,80,80,1,0,1,MANZANERA QUINTANA MARIA ISABEL,0,Complementary,F,20163
14060728,19,CHM,2014,03,DifCal,1,92,92,1,0,1,AGUIRRE PARRES AMALIA CONCEPCION,0,Ordinary,A,20143
14060728,19,CHM,2015,01,IntCal,2,76,76,1,0,1,MANZANERA QUINTANA MARIA ISABEL,0,Complementary,B,20151
14060728,19,CHM,2015,03,VecCal,3,84,84,1,0,1,LIMAS FRESCAS BLANCA ROSA,0,Complementary,C,20153
14060728,19,CHM,2016,01,DifEqs,4,86,86,1,0,1,MANZANERA QUINTANA MARIA ISABEL,0,Complementary,C,20161
14060731,19,CHM,2014,03,DifCal,1,77,77,1,0,1,AGUIRRE PARRES AMALIA CONCEPCION,0,Ordinary,A,20143
14060731,19,CHM,2015,01,IntCal,2,75,75,1,0,1,NEVAREZ BURGUEÑO CATALINA IRENE,0,Complementary,D,20151
14060731,19,CHM,2015,03,VecCal,3,70,70,1,0,1,GANDARA RIVERA FEDERICO ANTONIO,0,Complementary,I,20153
14060731,19,CHM,2016,01,DifEqs,4,85,85,1,0,1,AGUIRRE PARRES AMALIA CONCEPCION,0,Ordinary,E,20161
14060746,19,CHM,2014,03,DifCal,1,81,81,1,0,1,CLEMENTE SALAZAR MARCO ANTONIO,0,Ordinary,B,20143
14060746,19,CHM,2015,01,IntCal,2,70,70,1,0,1,VILLAZON BUSTILLOS DANIEL,0,Ordinary,I,20151
14060746,19,CHM,2015,03,VecCal,3,0,69,0,1,1,MANZANERA QUINTANA MARIA ISABEL,0,Complementary,E,20153
14060746,19,CHM,2016,01,VecCal,3,70,70,1,0,1,GANDARA RIVERA FEDERICO ANTONIO,1,Complementary,I,20161
14060746,19,CHM,2016,02,DifEqs,4,0,69,0,1,1,ALEJOS VIZCARRA ARTURO,0,Complementary,B,20162
14060746,19,CHM,2016,03,DifEqs,4,0,69,0,1,1,AGUIRRE PARRES AMALIA CONCEPCION,1,Complementary,C,20163
14060746,19,CHM,2017,01,DifEqs,4,70,70,1,0,1,LEON RUBIO ANGEL GABRIEL,2,Special Course,J,20171
14060755,19,CHM,2014,03,DifCal,1,0,69,0,1,1,AGUIRRE PARRES AMALIA CONCEPCION,0,Complementary,A,20143
14060755,19,CHM,2015,02,DifCal,1,82,82,1,0,1,GUZMAN GONZALEZ CYNTHIA LILIANA,1,Complementary,B,20152
14060755,19,CHM,2015,03,IntCal,2,0,69,0,1,1,AGUIRRE PARRES AMALIA CONCEPCION,0,Complementary,C,20153
14060755,19,CHM,2016,01,IntCal,2,70,70,1,0,1,BRITO CHAPARRO JOSE ANGEL,1,Complementary,R,20161
14060755,19,CHM,2017,01,VecCal,3,72,72,1,0,1,JUAREZ MARTINEZ JESUS,0,Complementary,D,20171
14060755,19,CHM,2017,02,DifEqs,4,75,75,1,0,1,ALEJOS VIZCARRA ARTURO,0,Complementary,B,20172
14060756,19,CHM,2014,03,DifCal,1,85,85,1,0,1,AGUIRRE PARRES AMALIA CONCEPCION,0,Ordinary,A,20143
14060756,19,CHM,2015,01,IntCal,2,85,85,1,0,1,NEVAREZ BURGUEÑO CATALINA IRENE,0,Complementary,D,20151
14060756,19,CHM,2015,03,VecCal,3,91,91,1,0,1,LIMAS FRESCAS BLANCA ROSA,0,Ordinary,C,20153
14060756,19,CHM,2016,01,DifEqs,4,0,69,0,1,1,MANZANERA QUINTANA MARIA ISABEL,0,Complementary,C,20161
14060756,19,CHM,2016,03,DifEqs,4,92,92,1,0,1,ALEJOS VIZCARRA ARTURO,1,Ordinary,J,20163
14060798,19,CHM,2014,03,DifCal,1,70,70,1,0,1,CLEMENTE SALAZAR MARCO ANTONIO,0,Ordinary,B,20143
14060798,19,CHM,2015,01,IntCal,2,0,69,0,1,1,ESTEVANE ORTEGA MARIA ELENA,0,Complementary,H,20151
14060798,19,CHM,2015,03,IntCal,2,85,85,1,0,1,DIAZ PEÑA MIREYA ARMIDA,1,Complementary,E,20153
14060798,19,CHM,2016,01,VecCal,3,75,75,1,0,1,JUAREZ MARTINEZ JESUS,0,Complementary,D,20161
14060798,19,CHM,2016,03,DifEqs,4,0,69,0,1,1,ALEJOS VIZCARRA ARTURO,0,Complementary,J,20163
14060798,19,CHM,2017,01,DifEqs,4,77,77,1,0,1,ALEJOS VIZCARRA ARTURO,1,Complementary,K,20171
14060831,19,CHM,2014,03,DifCal,1,75,75,1,0,1,AGUIRRE PARRES AMALIA CONCEPCION,0,Complementary,A,20143
14060831,19,CHM,2015,01,IntCal,2,86,86,1,0,1,NEVAREZ BURGUEÑO CATALINA IRENE,0,Complementary,D,20151
14060831,19,CHM,2016,01,VecCal,3,83,83,1,0,1,MANZANERA QUINTANA MARIA ISABEL,0,Complementary,E,20161
14060831,19,CHM,2016,03,DifEqs,4,74,74,1,0,1,MANZANERA QUINTANA MARIA ISABEL,0,Complementary,F,20163
14060852,19,CHM,2014,03,DifCal,1,71,71,1,0,1,CLEMENTE SALAZAR MARCO ANTONIO,0,Ordinary,B,20143
14060852,19,CHM,2015,01,IntCal,2,93,93,1,0,1,NEVAREZ BURGUEÑO CATALINA IRENE,0,Complementary,D,20151
